date,deaths
2020-12-23,2
2020-12-22,9
2020-12-21,14
2020-12-20,27
2020-12-19,32
2020-12-18,38
2020-12-17,53
2020-12-16,57
2020-12-15,65
2020-12-14,80
2020-12-13,62
2020-12-12,64
2020-12-11,66
2020-12-10,82
2020-12-09,88
2020-12-08,80
2020-12-07,83
2020-12-06,59
2020-12-05,77
2020-12-04,63
2020-12-03,58
2020-12-02,54
2020-12-01,54
2020-11-30,45
2020-11-29,58
2020-11-28,48
2020-11-27,40
2020-11-26,42
2020-11-25,47
2020-11-24,54
2020-11-23,43
2020-11-22,40
2020-11-21,41
2020-11-20,32
2020-11-19,30
2020-11-18,23
2020-11-17,42
2020-11-16,28
2020-11-15,29
2020-11-14,25
2020-11-13,18
2020-11-12,21
2020-11-11,22
2020-11-10,19
2020-11-09,16
2020-11-08,19
2020-11-07,18
2020-11-06,22
2020-11-05,21
2020-11-04,21
2020-11-03,20
2020-11-02,17
2020-11-01,16
2020-10-31,10
2020-10-30,20
2020-10-29,15
2020-10-28,12
2020-10-27,15
2020-10-26,13
2020-10-25,9
2020-10-24,13
2020-10-23,14
2020-10-22,6
2020-10-21,8
2020-10-20,16
2020-10-19,6
2020-10-18,8
2020-10-17,9
2020-10-16,9
2020-10-15,9
2020-10-14,10
2020-10-13,6
2020-10-12,11
2020-10-11,5
2020-10-10,11
2020-10-09,8
2020-10-08,12
2020-10-07,8
2020-10-06,13
2020-10-05,7
2020-10-04,8
2020-10-03,11
2020-10-02,5
2020-10-01,4
2020-09-30,6
2020-09-29,5
2020-09-28,7
2020-09-27,9
2020-09-26,4
2020-09-25,12
2020-09-24,8
2020-09-23,12
2020-09-22,17
2020-09-21,13
2020-09-20,9
2020-09-19,7
2020-09-18,7
2020-09-17,9
2020-09-16,14
2020-09-15,11
2020-09-14,17
2020-09-13,10
2020-09-12,13
2020-09-11,12
2020-09-10,14
2020-09-09,11
2020-09-08,14
2020-09-07,8
2020-09-06,10
2020-09-05,12
2020-09-04,26
2020-09-03,14
2020-09-02,13
2020-09-01,17
2020-08-31,23
2020-08-30,12
2020-08-29,19
2020-08-28,27
2020-08-27,24
2020-08-26,29
2020-08-25,19
2020-08-24,23
2020-08-23,17
2020-08-22,21
2020-08-21,35
2020-08-20,24
2020-08-19,17
2020-08-18,32
2020-08-17,29
2020-08-16,35
2020-08-15,30
2020-08-14,33
2020-08-13,49
2020-08-12,42
2020-08-11,47
2020-08-10,46
2020-08-09,33
2020-08-08,37
2020-08-07,52
2020-08-06,54
2020-08-05,53
2020-08-04,57
2020-08-03,35
2020-08-02,59
2020-08-01,62
2020-07-31,49
2020-07-30,65
2020-07-29,56
2020-07-28,77
2020-07-27,71
2020-07-26,57
2020-07-25,66
2020-07-24,69
2020-07-23,81
2020-07-22,76
2020-07-21,70
2020-07-20,78
2020-07-19,82
2020-07-18,75
2020-07-17,103
2020-07-16,99
2020-07-15,96
2020-07-14,80
2020-07-13,81
2020-07-12,68
2020-07-11,67
2020-07-10,85
2020-07-09,84
2020-07-08,85
2020-07-07,86
2020-07-06,89
2020-07-05,73
2020-07-04,78
2020-07-03,67
2020-07-02,67
2020-07-01,63
2020-06-30,66
2020-06-29,53
2020-06-28,49
2020-06-27,54
2020-06-26,42
2020-06-25,56
2020-06-24,36
2020-06-23,45
2020-06-22,21
2020-06-21,35
2020-06-20,33
2020-06-19,44
2020-06-18,26
2020-06-17,29
2020-06-16,34
2020-06-15,34
2020-06-14,35
2020-06-13,34
2020-06-12,34
2020-06-11,26
2020-06-10,22
2020-06-09,26
2020-06-08,23
2020-06-07,29
2020-06-06,27
2020-06-05,21
2020-06-04,14
2020-06-03,28
2020-06-02,23
2020-06-01,11
2020-05-31,25
2020-05-30,16
2020-05-29,18
2020-05-28,30
2020-05-27,21
2020-05-26,21
2020-05-25,18
2020-05-24,14
2020-05-23,22
2020-05-22,19
2020-05-21,16
2020-05-20,12
2020-05-19,17
2020-05-18,14
2020-05-17,21
2020-05-16,23
2020-05-15,21
2020-05-14,21
2020-05-13,24
2020-05-12,15
2020-05-11,13
2020-05-10,20
2020-05-09,10
2020-05-08,24
2020-05-07,28
2020-05-06,20
2020-05-05,21
2020-05-04,19
2020-05-03,24
2020-05-02,13
2020-05-01,17
2020-04-30,28
2020-04-29,20
2020-04-28,14
2020-04-27,21
2020-04-26,14
2020-04-25,14
2020-04-24,12
2020-04-23,24
2020-04-22,14
2020-04-21,11
2020-04-20,23
2020-04-19,22
2020-04-18,15
2020-04-17,15
2020-04-16,17
2020-04-15,14
2020-04-14,18
2020-04-13,14
2020-04-12,18
2020-04-11,21
2020-04-10,15
2020-04-09,13
2020-04-08,10
2020-04-07,15
2020-04-06,12
2020-04-05,11
2020-04-04,7
2020-04-03,11
2020-04-02,6
2020-04-01,10
2020-03-31,13
2020-03-30,8
2020-03-29,6
2020-03-28,6
2020-03-27,7
2020-03-26,7
2020-03-25,4
2020-03-24,2
2020-03-23,5
2020-03-22,1
2020-03-21,1
2020-03-20,2
2020-03-19,2
2020-03-17,1
